athee (athiban (ATHEE) from directory H:\a1\SparkGamers\TheWar_source\TW_source\TW_source\TheWar.exe) from IP 157.50.75.102, computer ID ObbHjcVlrmNM4LSfuTLKGGBROuQ
athee (athiban (ATHEE) from directory H:\a1\SparkGamers\TheWar_source\TW_source\TW_source\TheWar.bgt) from IP 157.50.75.102, computer ID ObbHjcVlrmNM4LSfuTLKGGBROuQ
athee (athiban (ATHEE) from directory H:\a1\SparkGamers\TheWar_source\TW_source\TW_source\TheWar.bgt) from IP 157.46.72.34, computer ID ObbHjcVlrmNM4LSfuTLKGGBROuQ
athee (athiban (ATHEE) from directory H:\Games\TheWar\TheWar\TheWar.exe) from IP 157.46.66.49, computer ID ObbHjcVlrmNM4LSfuTLKGGBROuQ
athee (athiban (ATHEE) from directory H:\a1\SparkGamers\TheWar_source\TW_source\TW_source\TheWar.exe) from IP 157.46.88.239, computer ID ObbHjcVlrmNM4LSfuTLKGGBROuQ
lawson (Lawson (LAPTOP-7EGG0SN6) from directory C:\Users\Lawson\AppData\Local\Temp\Rar$EXa7500.4011\TheWar\TheWar.exe) from IP 202.180.88.221, computer ID 8oicw3JXMXuakIxD9/GuN4IaxqE
mahi2000 (mahipal singh rathor (LAPTOP-413LVIOH) from directory C:\Users\mahipal singh rathor\Downloads\TheWar\TheWar\TheWar.exe) from IP 157.32.198.119, computer ID GGqvmxN5TWq7e+kJhU2GLfns9Z4
teja2020 (DELL (DESKTOP-I5K7N8S) from directory C:\Users\DELL\Desktop\TheWar\TheWar.exe) from IP 106.208.4.101, computer ID upepHNV1w7Wa1TyizOg4EhFJGy8
AnujSharma (ANUJ SHARMA JITWANTA (DESKTOP-523FC6S) from directory D:\Games\TheWar\TheWar.exe) from IP 169.149.195.48, computer ID SJ5pKZwgtUhERVYbp5f2xBsXOqU
athee (athiban (ATHEE) from directory H:\a1\SparkGamers\TheWar_source\TW_source\TW_source\TheWar.exe) from IP 157.50.37.221, computer ID ObbHjcVlrmNM4LSfuTLKGGBROuQ
gurindersingh (LENOVO (DESKTOP-137TP43) from directory C:\Users\LENOVO\OneDrive\Desktop\TheWar\TheWar.exe) from IP 223.185.143.139, computer ID F8UAALx58uaqiG7CsXQyLBPsenE
athee (athiban (ATHEE) from directory H:\a1\SparkGamers\TheWar_source\TW_source\TW_source\TheWar.bgt) from IP 157.50.37.221, computer ID ObbHjcVlrmNM4LSfuTLKGGBROuQ
devikiran (user (DESKTOP-4DFNV88) from directory F:\games\accessible-games\TheWar\TheWar.exe) from IP 27.97.210.205, computer ID ODPqw57iuNB87N10NJuuVDuJzuI
ranjith (ssc (SS) from directory C:\Users\ssc\Downloads\TheWar\TheWar\TheWar.exe) from IP 157.49.200.153, computer ID kZ8NJSjYeFlq6gj0/OlXlwDeIDH
joker (mohamed ijaz (IJAZ) from directory E:\the war\TheWar\TheWar\TheWar.exe) from IP 157.49.238.100, computer ID 6Oq/2sZBCjoT0OZS+ax9H0a0Tqo
audio_gamer (HP (HP) from directory C:\Users\HP\Downloads\games\TheWar\TheWar.exe) from IP 178.87.214.129, computer ID oRPVh8z5fGWQ0jMzCAas6GlQEVM
MisterMirza (pak (DESKTOP-O0KESEK) from directory C:\Users\pak\Documents\TheWar\TheWar.exe) from IP 103.138.223.218, computer ID oGasf+XxxWqbs3dEPL6xzzXI4HA
moinkhan (Lenovo (LAPTOP-QBF39BLU) from directory H:\Download\games\TheWar\TheWar\TheWar.exe) from IP 27.56.202.93, computer ID cpPBB0DN6hg7Q3XpJc264T12zPo
sakthikamaleshwar (SAKTHI KAMALESH (DESKTOP-G20HFFB) from directory E:\TheWar\TheWar.exe) from IP 106.198.89.106, computer ID ObbHjcVlrmNM4LSfuTLKGGBROuQ
avasarakudukkai (bala (BALA-PC) from directory E:\TheWar\TheWar\TheWar.exe) from IP 157.46.119.190, computer ID Yqd9TgcZRdnUlPOu7quSE4VHUzR
king (hp (ABHI) from directory F:\TheWar\TheWar.exe) from IP 157.36.123.147, computer ID IzPZLle0yqeoDswNcd00ltZho4C
raza-al-pakistani (tawakkal (DESKTOP-6G7QQ8L) from directory E:\TheWar\TheWar.exe) from IP 111.88.192.149, computer ID UDFoF0Rk3wYvPheZHQui3iWdL7/
freezer (Administrator (WS0685) from directory C:\Users\Administrator\Saved Games\TheWar\TheWar.exe) from IP 202.144.141.130, computer ID omdoQDB1aPN+mTzSLB8Z6OFrB8g
KashifAwan (kashif-awan (DESKTOP-0456J8G) from directory D:\folder kashif awan\Softwares\computer softwares\games\TheWar\TheWar\TheWar.exe) from IP 111.119.187.49, computer ID MUr7g0CT2291SfQoIE38bwfHXfZ
joker (mohamed ijaz (IJAZ) from directory E:\the war\TheWar\TheWar\TheWar.exe) from IP 157.49.199.97, computer ID 6Oq/2sZBCjoT0OZS+ax9H0a0Tqo
Krishna (acer (ACER) from directory D:\softwares\TheWar\TheWar\TheWar.exe) from IP 157.50.157.33, computer ID kYniVLKKxKTo242WvYfeJfpg96f
radikesh (Kesav (RATHA-KESHAV) from directory H:\Audio Games\The War\TheWar\TheWar\TheWar.exe) from IP 157.46.89.89, computer ID 8YVEO31rgufSroKxZiUf2j23HEg
reddy (HP (LAPTOP-BGI1746H) from directory G:\TheWar\TheWar.exe) from IP 157.49.170.243, computer ID gt1OI6h2cXg+9K77yC0AQYokze3
